id,number,side,move,fen
23115,114,black,Ke2,87p83R2P17b7P3pk1K15R2
23116,115,white,Rf7,85R1p83R2P17b7P3pk1K18
23117,1,white,d4,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR
23118,2,black,d5,rnbqkbnrppp1pppp83p43P48PPP1PPPPRNBQKBNR
23119,3,white,c4,rnbqkbnrppp1pppp83p42PP48PP2PPPPRNBQKBNR
23120,4,black,c6,rnbqkbnrpp2pppp2p53p42PP48PP2PPPPRNBQKBNR
23121,5,white,Nf3,rnbqkbnrpp2pppp2p53p42PP45N2PP2PPPPRNBQKB1R
23122,6,black,Nf6,rnbqkb1rpp2pppp2p2n23p42PP45N2PP2PPPPRNBQKB1R
23123,7,white,e3,rnbqkb1rpp2pppp2p2n23p42PP44PN2PP3PPPRNBQKB1R
23124,8,black,e6,rnbqkb1rpp3ppp2p1pn23p42PP44PN2PP3PPPRNBQKB1R
23125,9,white,Bd3,rnbqkb1rpp3ppp2p1pn23p42PP43BPN2PP3PPPRNBQK2R
23126,10,black,Nbd7,r1bqkb1rpp1n1ppp2p1pn23p42PP43BPN2PP3PPPRNBQK2R
23127,11,white,Nbd2,r1bqkb1rpp1n1ppp2p1pn23p42PP43BPN2PP1N1PPPR1BQK2R
23128,12,black,Be7,r1bqk2rpp1nbppp2p1pn23p42PP43BPN2PP1N1PPPR1BQK2R
23129,13,white,O-O,r1bqk2rpp1nbppp2p1pn23p42PP43BPN2PP1N1PPPR1BQ1RK1
23130,14,black,O-O,r1bq1rk1pp1nbppp2p1pn23p42PP43BPN2PP1N1PPPR1BQ1RK1
23131,15,white,b3,r1bq1rk1pp1nbppp2p1pn23p42PP41P1BPN2P2N1PPPR1BQ1RK1
23132,16,black,a5,r1bq1rk11p1nbppp2p1pn2p2p42PP41P1BPN2P2N1PPPR1BQ1RK1
23133,17,white,a3,r1bq1rk11p1nbppp2p1pn2p2p42PP4PP1BPN23N1PPPR1BQ1RK1
23134,18,black,c5,r1bq1rk11p1nbppp4pn2p1pp42PP4PP1BPN23N1PPPR1BQ1RK1
23135,19,white,cxd5,r1bq1rk11p1nbppp4pn2p1pP43P4PP1BPN23N1PPPR1BQ1RK1
23136,20,black,exd5,r1bq1rk11p1nbppp5n2p1pp43P4PP1BPN23N1PPPR1BQ1RK1
23137,21,white,Bb2,r1bq1rk11p1nbppp5n2p1pp43P4PP1BPN21B1N1PPPR2Q1RK1
23138,22,black,a4,r1bq1rk11p1nbppp5n22pp4p2P4PP1BPN21B1N1PPPR2Q1RK1
23139,23,white,bxa4,r1bq1rk11p1nbppp5n22pp4P2P4P2BPN21B1N1PPPR2Q1RK1
23140,24,black,c4,r1bq1rk11p1nbppp5n23p4P1pP4P2BPN21B1N1PPPR2Q1RK1
23141,25,white,Bc2,r1bq1rk11p1nbppp5n23p4P1pP4P3PN21BBN1PPPR2Q1RK1
23142,26,black,Qa5,r1b2rk11p1nbppp5n2q2p4P1pP4P3PN21BBN1PPPR2Q1RK1
23143,27,white,Nb1,r1b2rk11p1nbppp5n2q2p4P1pP4P3PN21BB2PPPRN1Q1RK1
23144,28,black,Ne4,r1b2rk11p1nbppp8q2p4P1pPn3P3PN21BB2PPPRN1Q1RK1
23145,29,white,Bxe4,r1b2rk11p1nbppp8q2p4P1pPB3P3PN21B3PPPRN1Q1RK1
23146,30,black,dxe4,r1b2rk11p1nbppp8q7P1pPp3P3PN21B3PPPRN1Q1RK1
23147,31,white,Nfd2,r1b2rk11p1nbppp8q7P1pPp3P3P31B1N1PPPRN1Q1RK1
23148,32,black,Nb6,r1b2rk11p2bppp1n6q7P1pPp3P3P31B1N1PPPRN1Q1RK1
23149,33,white,Nc3,r1b2rk11p2bppp1n6q7P1pPp3P1N1P31B1N1PPPR2Q1RK1
23150,34,black,f5,r1b2rk11p2b1pp1n6q4p2P1pPp3P1N1P31B1N1PPPR2Q1RK1
23151,35,white,f3,r1b2rk11p2b1pp1n6q4p2P1pPp3P1N1PP21B1N2PPR2Q1RK1
23152,36,black,exf3,r1b2rk11p2b1pp1n6q4p2P1pP4P1N1Pp21B1N2PPR2Q1RK1
23153,37,white,Qxf3,r1b2rk11p2b1pp1n6q4p2P1pP4P1N1PQ21B1N2PPR4RK1
23154,38,black,Bd7,r4rk11p1bb1pp1n6q4p2P1pP4P1N1PQ21B1N2PPR4RK1
23155,39,white,Qe2,r4rk11p1bb1pp1n6q4p2P1pP4P1N1P31B1NQ1PPR4RK1
23156,40,black,Rac8,2r2rk11p1bb1pp1n6q4p2P1pP4P1N1P31B1NQ1PPR4RK1
23157,41,white,Rac1,2r2rk11p1bb1pp1n6q4p2P1pP4P1N1P31B1NQ1PP2R2RK1
23158,42,black,Bf6,2r2rk11p1b2pp1n3b2q4p2P1pP4P1N1P31B1NQ1PP2R2RK1
23159,43,white,d5,2r2rk11p1b2pp1n3b2q2P1p2P1p5P1N1P31B1NQ1PP2R2RK1
23160,44,black,Rfe8,2r1r1k11p1b2pp1n3b2q2P1p2P1p5P1N1P31B1NQ1PP2R2RK1
23161,45,white,Kh1,2r1r1k11p1b2pp1n3b2q2P1p2P1p5P1N1P31B1NQ1PP2R2R1K
23162,46,black,Qc5,2r1r1k11p1b2pp1n3b22qP1p2P1p5P1N1P31B1NQ1PP2R2R1K
23163,47,white,e4,2r1r1k11p1b2pp1n3b22qP1p2P1p1P3P1N51B1NQ1PP2R2R1K
23164,48,black,Nxd5,2r1r1k11p1b2pp5b22qn1p2P1p1P3P1N51B1NQ1PP2R2R1K
23165,49,white,Rfe1,2r1r1k11p1b2pp5b22qn1p2P1p1P3P1N51B1NQ1PP2R1R2K
23166,50,black,Nf4,2r1r1k11p1b2pp5b22q2p2P1p1Pn2P1N51B1NQ1PP2R1R2K
23167,51,white,Qe3,2r1r1k11p1b2pp5b22q2p2P1p1Pn2P1N1Q31B1N2PP2R1R2K
23168,52,black,Nd3,2r1r1k11p1b2pp5b22q2p2P1p1P3P1NnQ31B1N2PP2R1R2K
23169,53,white,Qxc5,2r1r1k11p1b2pp5b22Q2p2P1p1P3P1Nn41B1N2PP2R1R2K
23170,54,black,Rxc5,4r1k11p1b2pp5b22r2p2P1p1P3P1Nn41B1N2PP2R1R2K
23171,55,white,Ba1,4r1k11p1b2pp5b22r2p2P1p1P3P1Nn43N2PPB1R1R2K
23172,56,black,Bg5,4r1k11p1b2pp82r2pb1P1p1P3P1Nn43N2PPB1R1R2K
23173,57,white,Ncb1,4r1k11p1b2pp82r2pb1P1p1P3P2n43N2PPBNR1R2K
23174,58,black,fxe4,4r1k11p1b2pp82r3b1P1p1p3P2n43N2PPBNR1R2K
23175,59,white,Bc3,4r1k11p1b2pp82r3b1P1p1p3P1Bn43N2PP1NR1R2K
23176,60,black,Nxc1,4r1k11p1b2pp82r3b1P1p1p3P1B53N2PP1Nn1R2K
23177,61,white,Rxc1,4r1k11p1b2pp82r3b1P1p1p3P1B53N2PP1NR4K
23178,62,black,Bxa4,4r1k11p4pp82r3b1b1p1p3P1B53N2PP1NR4K
23179,63,white,Kg1,4r1k11p4pp82r3b1b1p1p3P1B53N2PP1NR3K1
23180,64,black,Bc6,4r1k11p4pp2b52r3b12p1p3P1B53N2PP1NR3K1
23181,65,white,Re1,4r1k11p4pp2b52r3b12p1p3P1B53N2PP1N2R1K1
23182,66,black,b5,4r1k16pp2b51pr3b12p1p3P1B53N2PP1N2R1K1
23183,67,white,Nf1,4r1k16pp2b51pr3b12p1p3P1B56PP1N2RNK1
23184,68,black,Rd5,4r1k16pp2b51p1r2b12p1p3P1B56PP1N2RNK1
23185,69,white,Ng3,4r1k16pp2b51p1r2b12p1p3P1B3N16PP1N2R1K1
23186,70,black,Rd3,4r1k16pp2b51p4b12p1p3P1Br2N16PP1N2R1K1
23187,71,white,Ne2,4r1k16pp2b51p4b12p1p3P1Br44N1PP1N2R1K1
23188,72,black,Be3+,4r1k16pp2b51p62p1p3P1Brb34N1PP1N2R1K1
23189,73,white,Kh1,4r1k16pp2b51p62p1p3P1Brb34N1PP1N2R2K
23190,74,black,Red8,3r2k16pp2b51p62p1p3P1Brb34N1PP1N2R2K
23191,75,white,Ng1,3r2k16pp2b51p62p1p3P1Brb36PP1N2R1NK
23192,76,black,Bf2,3r2k16pp2b51p62p1p3P1Br45bPP1N2R1NK
23193,77,white,Rf1,3r2k16pp2b51p62p1p3P1Br45bPP1N3RNK
23194,78,black,e3,3r2k16pp2b51p62p5P1Brp35bPP1N3RNK
23195,1,white,d4,rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR
23196,2,black,d5,rnbqkbnrppp1pppp83p43P48PPP1PPPPRNBQKBNR
23197,3,white,Nf3,rnbqkbnrppp1pppp83p43P45N2PPP1PPPPRNBQKB1R
23198,4,black,c6,rnbqkbnrpp2pppp2p53p43P45N2PPP1PPPPRNBQKB1R
23199,5,white,c4,rnbqkbnrpp2pppp2p53p42PP45N2PP2PPPPRNBQKB1R
